content_id,creator_id,content_type,genre,created_at,duration,tags,is_template,is_recreation
CT000001,C0131,mini,Mystery,2025-12-17 12:34:36,24.6,"visual,cinematic",False,False
CT000002,C0484,mini,Horror,2026-08-01 20:42:55,21.6,"story,ai,animation",False,False
CT000003,C0195,mini,Sci-Fi,2026-06-27 15:47:40,14.7,ai,False,False
CT000004,C0328,mini,Romance,2026-04-26 06:39:06,6.6,"ai,cinematic,viral",False,False
CT000005,C0406,image,Action,2025-11-02 17:31:50,88.7,"trending,visual,story",True,False
CT000006,C0317,image,Animation,2025-08-05 10:09:08,38.0,"animation,ai,experimental",False,False
CT000007,C0032,image,Drama,2025-06-26 21:18:36,123.7,"viral,visual,trending",False,False
CT000008,C0437,image,Romance,2025-11-22 17:47:55,63.7,"ai,experimental,viral",False,False
CT000009,C0025,mini,Mystery,2026-06-15 17:02:21,16.1,"character,animation",True,False
CT000010,C0267,mini,Mystery,2025-11-16 16:44:25,19.4,character,False,False
CT000011,C0331,image,Drama,2026-05-31 08:25:37,72.3,"animation,experimental,character",False,False
CT000012,C0123,mini,Action,2025-08-20 13:53:44,6.5,"experimental,cinematic",False,True
CT000013,C0388,mini,Mystery,2026-06-01 21:21:40,20.4,"viral,experimental,trending",False,False
CT000014,C0294,mini,Fantasy,2025-07-06 02:18:50,8.1,"cinematic,creative,character",True,False
CT000015,C0188,video,Romance,2025-11-03 10:37:49,36.9,"experimental,visual,animation",True,False
CT000016,C0074,image,Animation,2025-08-08 10:10:08,17.3,"cinematic,visual",False,True
CT000017,C0332,mini,Comedy,2026-03-03 01:57:28,9.7,viral,False,False
CT000018,C0049,cine,Comedy,2025-08-25 14:43:18,77.9,"visual,trending",False,False
CT000019,C0446,mini,Documentary,2025-06-07 08:17:29,16.2,"story,trending,character",False,False
CT000020,C0060,mini,Sci-Fi,2025-10-25 19:23:06,9.6,"character,experimental",False,False
CT000021,C0051,mini,Drama,2025-06-02 01:00:37,12.9,"story,character",False,False
CT000022,C0102,mini,Documentary,2025-11-21 00:04:06,9.6,experimental,True,False
CT000023,C0415,video,Action,2025-09-27 05:24:39,100.1,"experimental,animation,visual",False,False
CT000024,C0423,mini,Action,2026-07-31 13:27:40,15.6,animation,False,False
CT000025,C0287,cine,Romance,2026-01-26 12:58:03,60.7,"experimental,animation",False,True
CT000026,C0400,video,Drama,2025-12-18 13:25:20,55.6,creative,False,False
CT000027,C0210,mini,Animation,2026-03-01 17:51:06,13.9,animation,True,True
