creator_id,creator_name,signup_date,creator_type,followers
C0001,Creator_0001,2024-07-28 20:15:02,Artist,17
C0002,Creator_0002,2024-08-07 17:26:27,Artist,167
C0003,Creator_0003,2024-04-12 16:14:44,Influencer,76
C0004,Creator_0004,2024-06-26 18:52:05,Influencer,11
C0005,Creator_0005,2024-03-09 20:31:20,Community Creator,37
C0006,Creator_0006,2024-06-16 18:41:34,Filmmaker,98
C0007,Creator_0007,2025-08-01 08:55:37,Artist,57
C0008,Creator_0008,2025-09-06 23:26:18,Filmmaker,86
C0009,Creator_0009,2025-07-25 07:20:52,AI Creator,26
C0010,Creator_0010,2026-03-09 02:41:13,Filmmaker,106
C0011,Creator_0011,2026-01-26 08:11:03,AI Creator,33
C0012,Creator_0012,2024-10-15 05:28:40,AI Creator,1159
C0013,Creator_0013,2024-06-16 09:16:59,Influencer,11
C0014,Creator_0014,2025-01-06 00:49:47,Influencer,1390
C0015,Creator_0015,2026-03-29 00:47:41,Artist,17
C0016,Creator_0016,2026-05-03 22:35:34,Influencer,251
C0017,Creator_0017,2024-06-29 14:55:19,Artist,147
C0018,Creator_0018,2024-05-08 03:18:06,Influencer,18
C0019,Creator_0019,2025-10-12 13:28:12,Community Creator,112
C0020,Creator_0020,2026-02-14 18:25:00,Filmmaker,30
C0021,Creator_0021,2026-04-18 01:50:38,AI Creator,75
C0022,Creator_0022,2026-04-26 02:08:57,AI Creator,65
C0023,Creator_0023,2024-09-06 09:57:21,AI Creator,35
C0024,Creator_0024,2025-12-06 03:55:05,Filmmaker,32
C0025,Creator_0025,2025-08-17 10:31:41,Influencer,82
C0026,Creator_0026,2024-10-23 17:02:21,AI Creator,18
C0027,Creator_0027,2024-01-15 02:09:20,Artist,19
C0028,Creator_0028,2025-07-30 11:00:17,Community Creator,171
C0029,Creator_0029,2024-11-14 19:39:47,Community Creator,91
C0030,Creator_0030,2024-09-14 00:46:24,AI Creator,11
C0031,Creator_0031,2024-01-09 10:23:36,Community Creator,16
C0032,Creator_0032,2024-04-16 13:52:00,Filmmaker,10
C0033,Creator_0033,2024-06-16 16:33:03,Influencer,162
C0034,Creator_0034,2024-04-04 16:52:09,AI Creator,124
C0035,Creator_0035,2026-04-17 20:07:56,Artist,14
C0036,Creator_0036,2024-01-09 05:46:58,Influencer,119
C0037,Creator_0037,2024-12-08 20:16:24,Artist,591
C0038,Creator_0038,2026-05-12 21:50:50,Filmmaker,10
C0039,Creator_0039,2024-04-13 16:10:00,Community Creator,26
C0040,Creator_0040,2025-07-31 18:45:09,Artist,10
C0041,Creator_0041,2024-08-08 16:12:29,Artist,170
C0042,Creator_0042,2024-10-10 07:56:50,Filmmaker,48
