user_id,country,age_group,signup_date,following_count,creator_flag,preferred_genres
U00001,India,13-17,2024-02-08 19:21:10,15,True,"['Action', 'Romance', 'Documentary']"
U00002,Germany,25-34,2024-09-16 07:07:10,17,False,"['Animation', 'Documentary', 'Comedy', 'Horror']"
U00003,Australia,45+,2024-10-21 15:28:07,20,False,"['Documentary', 'Animation', 'Comedy', 'Horror']"
U00004,Canada,35-44,2025-01-13 15:33:45,13,False,"['Animation', 'Drama']"
U00005,Canada,18-24,2024-10-22 19:41:57,24,False,"['Romance', 'Mystery']"
U00006,Singapore,18-24,2024-04-07 07:30:01,23,False,['Mystery']
U00007,India,45+,2024-07-08 15:30:39,17,False,"['Animation', 'Mystery', 'Horror']"
U00008,Australia,45+,2024-08-17 10:33:12,15,False,"['Fantasy', 'Mystery', 'Documentary', 'Action']"
U00009,United States,25-34,2025-05-23 16:46:32,22,False,['Romance']
U00010,India,25-34,2024-10-02 07:38:01,22,False,"['Horror', 'Sci-Fi', 'Mystery', 'Action']"
U00011,Canada,25-34,2024-11-24 06:48:33,20,False,['Mystery']
U00012,Singapore,25-34,2025-01-15 06:53:42,20,False,"['Comedy', 'Documentary']"
U00013,Germany,18-24,2024-07-06 06:39:45,22,False,['Horror']
U00014,Germany,18-24,2025-05-13 14:56:29,20,True,"['Drama', 'Action', 'Comedy', 'Mystery']"
U00015,Germany,18-24,2024-12-14 22:17:09,19,False,"['Action', 'Fantasy']"
U00016,Germany,35-44,2025-03-14 13:24:10,23,True,"['Action', 'Romance', 'Horror', 'Comedy']"
U00017,Canada,18-24,2025-01-22 08:20:07,19,False,"['Documentary', 'Comedy', 'Sci-Fi']"
U00018,India,18-24,2024-11-17 07:48:02,15,False,"['Sci-Fi', 'Mystery', 'Comedy']"
U00019,Germany,25-34,2024-01-16 23:06:53,18,False,"['Sci-Fi', 'Mystery']"
U00020,Canada,18-24,2024-10-28 17:48:48,20,True,"['Fantasy', 'Mystery']"
U00021,Canada,18-24,2024-03-07 22:58:01,12,False,['Fantasy']
U00022,United Kingdom,25-34,2024-11-07 20:20:25,28,False,"['Romance', 'Fantasy', 'Horror']"
U00023,United States,18-24,2024-12-28 14:57:37,31,False,"['Horror', 'Mystery']"
U00024,Singapore,25-34,2024-10-08 20:34:35,13,False,"['Comedy', 'Sci-Fi', 'Horror']"
U00025,Germany,45+,2024-06-08 11:08:09,27,False,['Sci-Fi']
U00026,Australia,18-24,2024-01-31 16:34:28,24,False,"['Romance', 'Action', 'Documentary']"
U00027,United Kingdom,45+,2024-12-12 22:25:01,23,False,"['Sci-Fi', 'Comedy']"
U00028,Germany,45+,2024-12-27 00:27:41,15,True,['Romance']
U00029,Canada,35-44,2024-09-04 02:11:53,23,False,"['Comedy', 'Action', 'Animation', 'Mystery']"
U00030,Canada,25-34,2025-01-05 08:18:25,16,False,"['Comedy', 'Fantasy', 'Horror', 'Documentary']"
U00031,Canada,25-34,2025-02-06 19:15:46,25,False,['Animation']
U00032,United States,25-34,2024-09-21 22:51:22,20,True,"['Drama', 'Animation', 'Horror', 'Sci-Fi']"
U00033,India,25-34,2024-01-25 15:33:29,13,False,['Action']
U00034,Canada,13-17,2025-03-25 23:46:09,22,False,"['Horror', 'Romance']"
U00035,Singapore,45+,2024-08-29 07:16:20,33,False,"['Horror', 'Mystery', 'Drama']"
